Matricule;TP1;TP2;TP3;TP4;TP5
1365491;14,90;15,00;17,50;18,50;13,50
1408421;15,80;18,00;17,00;17,00;18,50
1609536;;;;;
1623868;14,00;14,00;17,00;14,50;16,00
1667417;14,90;15,00;17,50;18,50;13,50
1775608;13,00;17,50;19,00;18,00;17,50
1781673;;;19,00;17,00;17,50
1784081;13,30;18,00;17,50;16,00;
1796038;15,20;14,00;18,50;13,50;15,50
1798356;;;;;
1806355;14,90;;;;
1839655;14,60;18,50;20,00;16,00;15,00
1843852;15,30;18,50;19,00;18,50;16,50
1846203;15,80;14,50;17,00;19,50;18,50
1854551;15,90;18,00;18,00;17,00;17,00
1855405;14,70;15,50;17,50;19,50;17,00
1856834;14,90;14,50;18,00;14,00;15,50
1879222;13,50;15,50;19,00;17,50;17,00
1882877;15,40;17,00;17,50;16,50;15,50
1884789;15,30;18,50;15,00;;14,00
1887017;13,20;16,00;;18,00;17,00
1891484;13,50;15,50;18,50;17,50;18,00
1891642;14,30;17,50;19,50;16,50;17,50
1893093;14,60;18,50;20,00;16,00;15,00
1895231;17,50;12,00;18,00;16,00;
1896851;15,30;14,00;17,50;16,00;15,00
1899573;15,40;16,00;17,00;16,60;18,00
1899911;15,80;18,50;18,00;17,50;14,00
1900001;13,80;18,50;18,50;19,00;17,00
1901755;;;;;
1908944;18,80;17,50;19,50;17,50;19,00
1914254;15,20;17,50;20,00;16,50;17,50
1921555;12,20;15,50;17,00;15,50;15,50
1924828;13,80;18,50;18,50;19,00;17,00
1929644;14,50;13,00;18,50;16,00;14,50
1930476;14,50;18,00;19,00;16,50;18,00
1930487;17,10;19,50;19,00;16,50;19,00
1933154;14,60;14,00;17,50;17,00;18,00
1933863;13,60;16,00;17,00;15,00;16,00
1938047;15,00;15,50;16,50;15,50;15,00
1938071;15,90;18,00;18,00;17,00;17,00
1938374;14,60;17,00;15,50;17,50;16,00
1939263;13,20;14,50;19,00;18,00;17,50
1940646;13,50;15,50;19,00;17,50;17,00
1942266;16,40;13,50;15,50;16,00;17,50
1942299;16,10;17,50;17,00;16,00;17,00
1942413;13,20;14,50;19,00;16,50;16,00
1942571;16,10;17,50;17,00;16,00;17,00
1943144;14,80;17,50;17,50;17,50;18,50
1944011;14,80;17,00;19,50;16,00;17,00
1946439;17,50;14,50;18,00;15,00;19,00
1946531;;;;;
1946722;;;;;
1949027;14,30;17,50;19,50;16,50;17,50
1949883;16,00;15,00;19,00;20,00;19,00
1950175;14,90;17,00;19,00;16,50;17,00
1950309;15,30;18,50;19,00;18,50;16,50
1951075;16,20;16,00;19,00;16,50;16,00
1951929;15,30;14,50;18,50;17,50;17,00
1951942;13,20;14,50;17,50;18,00;17,50
1952357;15,10;16,00;19,50;18,50;
1952381;15,50;18,00;19,00;18,00;19,00
1953606;15,00;13,50;18,50;16,50;16,00
1953977;14,50;13,00;18,50;16,00;14,50
1954721;15,40;17,00;17,50;16,50;15,50
1954899;15,80;15,00;17,00;17,00;18,50
1954945;11,90;14,50;18,50;17,00;14,50
1955294;14,80;15,80;17,50;18,00;17,50
1956071;14,50;18,50;19,50;19,50;18,00
1956249;16,50;15,50;18,00;17,50;16,00
1956892;16,40;13,50;15,50;16,00;17,50
1957127;15,00;13,50;18,50;16,50;16,00
1957375;15,90;18,00;18,00;17,00;17,00
1957634;16,20;16,00;19,00;16,50;16,00
1958387;16,50;17,00;18,50;17,00;17,00
